           1   -0.397573   -0.397573           0
           2   -0.387661   -0.392617  0.00495638
           3   -0.409362   -0.398199  0.00627236
           4   -0.435506   -0.407525   0.0103276
           5   -0.392775   -0.404575  0.00852634
           6   -0.417607   -0.406747  0.00729264
           7   -0.406637   -0.406731  0.00616343
           8   -0.403865   -0.406373   0.0053497
           9   -0.421386   -0.408041   0.0050042
          10   -0.396636   -0.406901  0.00461893
          11   -0.410459   -0.407224  0.00419048
          12   -0.393313   -0.406065  0.00399716
          13   -0.420175    -0.40715  0.00383372
          14   -0.425621    -0.40847  0.00378663
          15   -0.404488   -0.408204  0.00353513
          16   -0.437781   -0.410053  0.00378843
          17   -0.422129   -0.410763  0.00362882
          18    -0.40268   -0.410314  0.00345063
          19   -0.382211   -0.408835  0.00358347
          20   -0.426797   -0.409733  0.00351621
