0      0.697911
1     -0.441057
2     -0.363933
3     -0.127997
4     -0.275181
5     -0.195822
6     -0.337554
7     -0.421015
8      -0.40912
9     -0.401442
10     -0.283052
11      -0.38152
12     -0.174222
13     -0.413141
14     -0.330459
15      -0.44209
16     -0.390816
17     -0.378029
18     -0.324968
19     -0.415511
20     -0.430851
21     -0.408206
22     -0.412149
23     -0.375592
24      -0.21337
25     -0.350747
26     -0.380106
27     -0.423663
28     -0.431868
29     -0.374675
30     -0.353677
31     -0.334533
32     -0.400495
33     -0.439849
34     -0.439264
35     -0.433541
36      -0.41609
37      -0.43181
38     -0.435284
39      -0.34704
40     -0.424809
41      -0.42071
42     -0.425455
43     -0.442549
44     -0.427049
45     -0.435218
46     -0.440204
47     -0.436564
48     -0.442947
49     -0.432939
50     -0.426935
